mobimet_ID, temp_cal_a0, temp_cal_a1, hum_cal_a0, hum_cal_a1, bgt_cal_a0, bgt_cal_a1,language,wind,HTU_RH_a0,HTU_RH_a1,HTU_Ta_a0,HTU_Ta_a1,calibration_date,
104,-0.396570809657617,1.02284051161844,2.2479431993901,0.942930783326183,0.002766529,1.004255276,g,n,0,1,0,1,2023,
105,-0.281675338417544,1.01816470812203,2.38835165216011,0.928675659812571,-0.185507342,1.010217974,g,n,0,1,0,1,2023,
106,-0.338112696747987,1.01991534019554,0.93044675461193,0.960021289908493,-0.029345059,1.005998193,g,n,0,1,0,1,2023,
107,-0.309099598335965,1.018159685763,1.99304006060431,0.959130593809772,-0.13665516,1.007670238,g,n,0,1,0,1,2023,
108,-0.160463581139802,1.02121519272567,-8.99534468657581,0.835317366163546,-0.106066407,1.006174738,g,n,-0.517109836081498,0.988749675145064,-0.262792387545752,1.00009454520765,2023,
109,-0.253971713888495,1.02317627365234,4.57058606125129,0.925073564265995,-0.005434004,1.002673744,g,n,0,1,0,1,2023,
110,-0.285939696617212,1.02129960231821,-0.909154912318778,0.96866480489318,-0.129580724,1.006047407,g,n,0,1,0,1,2023,
111,-0.457191301020557,1.02030516820957,0.92374063253552,0.963161825715616,-0.044752863,1.005243149,g,n,0,1,0,1,2023,
112,-0.223758267775248,1.02128947659388,1.92188165789096,0.945503611160279,-0.125726048,1.007931242,g,n,0,1,0,1,2023,
113,-0.410766292,1.021596686,0.920245477,0.921491756,-0.277857045,1.010136484,g,n,0,1,0,1,2020,
114,-0.593459889,1.025977883,1.443890974,0.932685351,-0.158584949,1.004391025,g,n,0,1,0,1,2020,
115,-0.230978607717112,1.02086914372367,-0.118760783353014,0.956770725178117,-0.138243758,1.006247454,g,n,0,1,0,1,2023,
116,-0.225683047681759,1.02233646829835,9.65080228510004,0.791723161903279,-0.139736248,1.008619574,g,n,0,1,0,1,2023,
117,-0.239571191318888,1.01912232169276,0.58429279724493,0.892204614364884,-0.193271779,1.006635053,g,n,0,1,0,1,2023,
118,-0.491156435291633,1.02279782416177,2.66580657384328,0.939812600076036,-0.195162914,1.008575827,g,y,0,1,0,1,2023,
119,-0.330695389699632,1.02040548903258,-4.81479377865258,0.931540232684047,-0.097623,1.008991951,g,n,2.54993527127583,0.892744068125914,-0.25684129619634,0.995565097881451,2023,
120,0.0263153605165406,1.01595361396694,10.4986968160408,0.802776243104751,-0.212728838,1.009446654,g,n,5.08732168591058,0.865590534830497,-0.167812852613128,0.995688095738021,2023,
121,-0.362261740235904,1.02206671634418,2.63218573229364,0.938048719072409,-0.091956756,1.006122212,g,n,0,1,0,1,2023,
122,-0.217406136955518,1.02299561055579,3.85401076535531,0.900740971622092,-0.166086111,1.009143844,g,n,0,1,0,1,2023,
123,-0.462763584,1.024640382,0.808061688,0.959573716,-0.153821031,1.003315087,g,n,0,1,0,1,2020,
124,-0.292560754814389,1.02418727899252,0.565193399544204,0.909728621768092,-0.24504497,1.008859329,g,n,0,1,0,1,2023,
125,-0.379613735077733,1.02033791277591,-0.832910920222345,0.965391296038652,-0.143812283,1.006739523,g,n,0,1,0,1,2023,
126,-0.318660439073219,1.02385136932162,-9.71686265752834,0.979055169628149,-0.214687118,1.007388999,g,n,0,1,0,1,2023,
127,-0.210474303731666,1.02029786816818,-5.75157318665181,0.878600068756025,-0.126130299,1.005642262,g,n,0,1,0,1,2023,
128,-0.22210608865515,1.02379229929067,4.71325838374141,0.840197650843711,-0.198845623,1.008763489,g,n,0,1,0,1,2023,
129,-0.234105308088212,1.01876346618581,-2.83160594280992,0.92234372167366,-0.139983363,1.007384897,g,n,0,1,0,1,2023,
130,0.0545294361837657,1.02142144011093,-6.60987024291171,0.931822107716481,-0.094243871,1.007407031,g,n,1.364249880894,0.888776068917814,-0.0943302384107687,0.997557468141182,2023,
131,-0.430722598368563,1.01730959666819,5.45808779084803,0.871355813870707,-0.177150106,1.006329489,g,n,0,1,0,1,2023,
132,-0.582376656,1.026517681,0.8594034,0.941151018,-0.161644345,1.005974556,g,n,0,1,0,1,2023,
